date,new_cases
2020-03-22,1
2020-03-25,1
2020-03-29,1
2020-04-03,1
2020-04-05,2
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-11,4
2020-04-13,4
2020-06-05,1
2020-06-09,1
2020-06-13,1
2020-06-16,1
2020-06-22,1
2020-06-26,1
2020-06-30,4
2020-07-03,2
2020-07-09,3
2020-07-10,4
2020-07-14,2
2020-07-16,1
2020-07-20,2
2020-07-21,1
2020-07-23,4
2020-07-24,1
2020-08-01,9
2020-08-04,15
2020-08-05,14
2020-08-06,28
2020-08-07,32
2020-08-08,8
2020-08-10,23
2020-08-11,34
2020-08-12,86
2020-08-13,60
2020-08-14,31
2020-08-15,65
2020-08-16,4
2020-08-17,18
2020-08-18,78
2020-08-19,53
2020-08-20,43
2020-08-21,20
2020-08-22,18
2020-08-23,27
2020-08-24,17
2020-08-25,30
2020-08-26,58
2020-08-27,6
2020-08-28,88
2020-08-29,50
2020-08-30,43
2020-08-31,15
2020-09-01,51
2020-09-02,29
2020-09-03,19
2020-09-04,64
2020-09-05,80
2020-09-06,45
2020-09-07,3
2020-09-08,51
2020-09-09,31
2020-09-10,13
2020-09-11,40
2020-09-12,16
2020-09-13,19
2020-09-14,30
2020-09-15,18
2020-09-16,12
2020-09-17,31
2020-09-18,22
2020-09-19,13
2020-09-20,27
2020-09-21,3
2020-09-22,33
2020-09-23,39
2020-09-24,59
2020-09-25,42
2020-09-26,23
2020-09-27,23
2020-09-28,37
2020-09-29,52
2020-09-30,49
2020-10-01,34
2020-10-02,70
2020-10-03,36
2020-10-04,65
2020-10-05,12
2020-10-06,73
2020-10-07,31
2020-10-08,64
2020-10-09,54
2020-10-10,70
2020-10-11,73
2020-10-12,3
2020-10-13,13
2020-10-14,34
2020-10-15,61
2020-10-16,66
2020-10-17,27
2020-10-18,53
2020-10-19,6
2020-10-20,81
2020-10-21,23
2020-10-22,59
2020-10-23,73
2020-10-24,61
2020-10-25,16
2020-10-26,57
2020-10-27,32
2020-10-28,134
2020-10-29,88
2020-10-30,54
2020-10-31,37
2020-11-01,90
2020-11-02,82
2020-11-03,143
2020-11-04,156
2020-11-05,56
2020-11-06,42
2020-11-07,98
2020-11-08,77
2020-11-09,86
2020-11-10,209
2020-11-11,105
2020-11-12,124
2020-11-13,146
2020-11-14,69
2020-11-15,89
2020-11-16,64
2020-11-17,65
2020-11-18,89
2020-11-19,53
2020-11-20,57
2020-11-21,85
2020-11-22,79
