date,new_cases,total_cases
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,1,0
2020-03-25,2.4829853,2.4829853
2020-03-26,0,2.4829853
2020-03-27,2.4829853,4.9659705
2020-03-28,0,4.9659705
2020-03-29,0,4.9659705
2020-03-30,0,4.9659705
2020-03-31,2.4829853,7.448956
2020-04-01,0,7.448956
2020-04-02,0,7.448956
2020-04-03,0,7.448956
2020-04-04,0,7.448956
2020-04-05,2.4829853,9.931941
2020-04-06,2.4829853,12.414927
2020-04-07,4.9659705,17.380898
2020-04-08,0,17.380898
2020-04-09,2.4829853,19.863882
2020-04-10,2.4829853,22.346869
2020-04-11,2.4829853,24.829853
2020-04-12,0,24.829853
2020-04-13,7.448956,32.27881
2020-04-14,2.4829853,34.761795
2020-04-15,9.931941,44.693737
2020-04-16,0,44.693737
2020-04-17,0,44.693737
2020-04-18,0,44.693737
2020-04-19,0,44.693737
2020-04-20,0,44.693737
2020-04-21,0,44.693737
2020-04-22,0,44.693737
2020-04-23,0,44.693737
2020-04-24,0,44.693737
2020-04-25,0,44.693737
2020-04-26,0,44.693737
2020-04-27,0,44.693737
2020-04-28,0,44.693737
2020-04-29,0,44.693737
2020-04-30,0,44.693737
2020-05-01,0,44.693737
2020-05-02,0,44.693737
2020-05-03,0,44.693737
2020-05-04,0,44.693737
2020-05-05,0,44.693737
2020-05-06,0,44.693737
2020-05-07,0,44.693737
2020-05-08,0,44.693737
2020-05-09,0,44.693737
2020-05-10,0,44.693737
2020-05-11,0,44.693737
2020-05-12,0,44.693737
2020-05-13,0,44.693737
2020-05-14,0,44.693737
2020-05-15,0,44.693737
2020-05-16,0,44.693737
2020-05-17,0,44.693737
2020-05-18,0,44.693737
2020-05-19,0,44.693737
2020-05-20,0,44.693737
2020-05-21,0,44.693737
2020-05-22,0,44.693737
2020-05-23,0,44.693737
2020-05-24,0,44.693737
2020-05-25,0,44.693737
2020-05-26,0,44.693737
2020-05-27,0,44.693737
2020-05-28,0,44.693737
2020-05-29,0,44.693737
2020-05-30,0,44.693737
2020-05-31,0,44.693737
2020-06-01,0,44.693737
2020-06-02,0,44.693737
2020-06-03,0,44.693737
2020-06-04,0,44.693737
2020-06-05,0,44.693737
2020-06-06,0,44.693737
2020-06-07,2.4829853,47.17672
2020-06-08,0,47.17672
2020-06-09,0,47.17672
2020-06-10,0,47.17672
2020-06-11,2.4829853,49.659706
2020-06-12,0,49.659706
2020-06-13,0,49.659706
2020-06-14,0,49.659706
2020-06-15,2.4829853,52.142693
2020-06-16,0,52.142693
2020-06-17,0,52.142693
2020-06-18,2.4829853,54.62568
2020-06-19,0,54.62568
2020-06-20,0,54.62568
2020-06-21,0,54.62568
2020-06-22,0,54.62568
2020-06-23,0,54.62568
2020-06-24,2.4829853,57.10866
2020-06-25,0,57.10866
2020-06-26,0,57.10866
2020-06-27,0,57.10866
2020-06-28,2.4829853,59.59165
2020-06-29,0,59.59165
2020-06-30,0,59.59165
2020-07-01,0,59.59165
2020-07-02,9.931941,69.52359
2020-07-03,0,69.52359
2020-07-04,0,69.52359
2020-07-05,4.9659705,74.48956
2020-07-06,0,74.48956
2020-07-07,0,74.48956
2020-07-08,0,74.48956
2020-07-09,0,74.48956
2020-07-10,0,74.48956
2020-07-11,7.448956,81.938515
2020-07-12,9.931941,91.87046
2020-07-13,0,91.87046
2020-07-14,0,91.87046
2020-07-15,0,91.87046
2020-07-16,4.9659705,96.836426
2020-07-17,0,96.836426
2020-07-18,2.4829853,99.31941
2020-07-19,0,99.31941
2020-07-20,0,99.31941
2020-07-21,0,99.31941
2020-07-22,4.9659705,104.285385
2020-07-23,2.4829853,106.76837
2020-07-24,0,106.76837
2020-07-25,9.931941,116.70031
2020-07-26,2.4829853,119.1833
2020-07-27,0,119.1833
2020-07-28,0,119.1833
2020-07-29,0,119.1833
2020-07-30,0,119.1833
2020-07-31,0,119.1833
2020-08-01,0,119.1833
2020-08-02,0,119.1833
2020-08-03,19.863882,139.04718
2020-08-04,2.4829853,141.53017
2020-08-05,0,141.53017
2020-08-06,37.24478,178.77495
2020-08-07,34.761795,213.53674
2020-08-08,69.52359,283.06033
2020-08-09,79.45553,362.51587
2020-08-10,17.380898,379.89676
2020-08-11,2.4829853,382.37973
2020-08-12,57.10866,439.4884
2020-08-13,81.938515,521.42694
2020-08-14,213.53674,734.9637
2020-08-15,148.97913,883.9428
2020-08-16,79.45553,963.3983
2020-08-17,158.91106,1122.3093
2020-08-18,0,1122.3093
2020-08-19,57.10866,1179.4181
2020-08-20,193.67285,1373.091
2020-08-21,0,1373.091
2020-08-22,129.11523,1502.2062
2020-08-23,106.76837,1608.9745
2020-08-24,49.659706,1658.6342
2020-08-25,44.693737,1703.328
2020-08-26,67.0406,1770.3685
2020-08-27,42.21075,1812.5793
2020-08-28,74.48956,1887.0688
2020-08-29,144.01315,2031.082
2020-08-30,129.11523,2160.1973
2020-08-31,233.40062,2393.598
2020-09-01,72.00658,2465.6045
2020-09-02,34.761795,2500.3662
2020-09-03,106.76837,2607.1345
2020-09-04,126.632256,2733.7668
2020-09-05,42.21075,2775.9775
2020-09-06,84.4215,2860.3992
2020-09-07,104.285385,2964.6846
2020-09-08,166.36002,3131.0444
2020-09-09,114.21732,3245.262
2020-09-10,134.0812,3379.343
2020-09-11,9.931941,3389.275
2020-09-12,84.4215,3473.6965
2020-09-13,89.387474,3563.084
2020-09-14,57.10866,3620.1926
2020-09-15,54.62568,3674.8184
2020-09-16,52.142693,3726.961
2020-09-17,67.0406,3794.0017
2020-09-18,19.863882,3813.8655
2020-09-19,76.97255,3890.8381
2020-09-20,57.10866,3947.9468
2020-09-21,39.727764,3987.6746
2020-09-22,52.142693,4039.8171
2020-09-23,19.863882,4059.6812
2020-09-24,84.4215,4144.1025
2020-09-25,91.87046,4235.973
2020-09-26,129.11523,4365.0884
2020-09-27,124.14927,4489.2373
2020-09-28,42.21075,4531.448
2020-09-29,72.00658,4603.4546
2020-09-30,91.87046,4695.325
2020-10-01,129.11523,4824.4404
2020-10-02,121.66628,4946.107
2020-10-03,84.4215,5030.5283
2020-10-04,134.0812,5164.6094
2020-10-05,126.632256,5291.2417
2020-10-06,161.39404,5452.6357
2020-10-07,19.863882,5472.4995
2020-10-08,96.836426,5569.336
2020-10-09,166.36002,5735.6963
2020-10-10,156.42807,5892.124
2020-10-11,134.0812,6026.2056
2020-10-12,171.32599,6197.5312
2020-10-13,86.90449,6284.436
2020-10-14,94.35344,6378.7896
2020-10-15,39.727764,6418.517
2020-10-16,84.4215,6502.9385
2020-10-17,156.42807,6659.3667
2020-10-18,114.21732,6773.584
2020-10-19,116.70031,6890.284
2020-10-20,94.35344,6984.6377
2020-10-21,49.659706,7034.2974
2020-10-22,131.59822,7165.8955
2020-10-23,126.632256,7292.528
2020-10-24,144.01315,7436.541
2020-10-25,136.5642,7573.1055
2020-10-26,139.04718,7712.1523
2020-10-27,96.836426,7808.989
2020-10-28,136.5642,7945.553
2020-10-29,79.45553,8025.009
2020-10-30,72.00658,8097.015
2020-10-31,300.44122,8397.456
2020-11-01,198.63882,8596.096
2020-11-02,62.074635,8658.17
2020-11-03,223.46867,8881.639
2020-11-04,116.70031,8998.339
2020-11-05,412.17557,9410.515
2020-11-06,285.5433,9696.058
2020-11-07,178.77495,9874.833
2020-11-08,96.836426,9971.669
2020-11-09,148.97913,10120.648
2020-11-10,248.29854,10368.947
2020-11-11,134.0812,10503.028
2020-11-12,456.8693,10959.897
2020-11-13,263.19644,11223.094
2020-11-14,188.70688,11411.801
2020-11-15,295.47525,11707.276
2020-11-16,168.843,11876.119
2020-11-17,193.67285,12069.792
2020-11-18,54.62568,12124.417
2020-11-19,91.87046,12216.288
2020-11-20,94.35344,12310.642
2020-11-21,148.97913,12459.62
2020-11-22,94.35344,12553.974
2020-11-23,134.0812,12688.055
2020-11-24,181.25793,12869.313
2020-11-25,163.87703,13033.19
2020-11-26,213.53674,13246.727
2020-11-27,218.50272,13465.2295
2020-11-28,228.43465,13693.664
2020-11-29,178.77495,13872.439
2020-11-30,148.97913,14021.418
2020-12-01,238.3666,14259.785
2020-12-02,275.61136,14535.396
2020-12-03,0,14535.396
2020-12-04,2833.0862,17368.482
2020-12-05,598.3995,17966.883
2020-12-06,364.99884,18331.88
2020-12-07,541.29083,18873.172
2020-12-08,417.14154,19290.312
2020-12-09,456.8693,19747.182
2020-12-10,148.97913,19896.162
2020-12-11,1256.3906,21152.553
2020-12-12,710.1338,21862.686
2020-12-13,397.27765,22259.963
2020-12-14,516.46094,22776.424
2020-12-15,302.92422,23079.35
2020-12-16,203.6048,23282.953
2020-12-17,332.72003,23615.674
2020-12-18,399.76065,24015.434
2020-12-19,295.47525,24310.91
2020-12-20,342.65198,24653.56
2020-12-21,233.40062,24886.963
2020-12-22,178.77495,25065.736
2020-12-23,124.14927,25189.887
2020-12-24,278.09436,25467.98
2020-12-25,280.57733,25748.559
2020-12-26,297.95825,26046.516
2020-12-27,0,26046.516
2020-12-28,0,26046.516
2020-12-29,176.29196,26222.809
2020-12-30,74.48956,26297.297
2020-12-31,191.18987,26488.488
2021-01-01,139.04718,26627.535
2021-01-02,129.11523,26756.65
2021-01-03,76.97255,26833.623
2021-01-04,0,26833.623
2021-01-05,233.40062,27067.023
2021-01-06,91.87046,27158.895
2021-01-07,198.63882,27357.533
2021-01-08,223.46867,27581.002
2021-01-09,109.25136,27690.252
2021-01-10,124.14927,27814.402
2021-01-11,158.91106,27973.312
2021-01-12,91.87046,28065.184
2021-01-13,72.00658,28137.19
2021-01-14,84.4215,28221.611
2021-01-15,131.59822,28353.209
2021-01-16,91.87046,28445.08
2021-01-17,181.25793,28626.338
2021-01-18,0,28626.338
2021-01-19,126.632256,28752.97
2021-01-20,29.795824,28782.766
2021-01-21,57.10866,28839.875
